Angle 0-360	Magnitude
50.085339	0.000000
51.176113	0.000000
52.606831	0.000000
49.703789	0.000000
47.823807	0.000000
49.157211	0.000000
48.623486	0.000000
46.670536	0.000000
47.389263	0.000000
45.125919	0.000000
45.792786	0.000000
45.392620	0.000000
44.704956	0.000000
40.732525	0.000000
38.703800	0.000000
40.515736	0.000000
44.208210	0.000000
45.923080	0.000000
46.348160	0.000000
44.431732	0.000000
49.905384	0.000000
51.139526	0.000000
51.786533	0.000000
50.071468	0.000000
49.836639	0.000000
48.274109	0.000000
48.728111	0.000000
46.934700	0.000000
46.550396	0.000000
45.514080	0.000000
49.311752	0.000000
49.291451	0.000000
51.271225	0.000000
52.266869	0.000000
53.311607	0.000000
49.194698	0.000000
48.430992	0.000000
50.205166	0.000000
48.830086	0.000000
47.593029	0.000000
45.775116	0.000000
44.949009	0.000000
46.829815	0.000000
45.379993	0.000000
40.155052	0.000000
37.747993	0.000000
38.417946	0.000000
45.210094	0.000000
46.852421	0.000000
49.820858	0.000000
52.911366	0.000000
54.247871	0.000000
54.620354	0.000000
56.386845	0.000000
57.762024	0.000000
55.052418	0.000000
49.022465	0.000000
48.102867	0.000000
50.783413	0.000000
50.481354	0.000000
51.474335	0.000000
50.810329	0.000000
52.525749	0.000000
51.861748	0.000000
51.601509	0.000000
51.573936	0.000000
50.180443	0.000000
49.032696	0.000000
48.879719	0.000000
50.292664	0.000000
50.769276	0.000000
49.235142	0.000000
47.630959	0.000000
47.636417	0.000000
46.953537	0.000000
46.268154	0.000000
42.946613	0.000000
39.904011	0.000000
41.397621	0.000000
46.208744	0.000000
47.027348	0.000000
48.129620	0.000000
46.825676	0.000000
49.584400	0.000000
51.175480	0.000000
53.377274	0.000000
51.438065	0.000000
45.961079	0.000000
43.231506	0.000000
44.042652	0.000000
47.091267	0.000000
49.485165	0.000000
51.482647	0.000000
50.748531	0.000000
48.159245	0.000000
50.065598	0.000000
52.066238	0.000000
53.328747	0.000000
48.943916	0.000000
45.584545	0.000000
48.469837	0.000000
46.295086	0.000000
44.863205	0.000000
44.217243	0.000000
45.514107	0.000000
45.811527	0.000000
44.090797	0.000000
42.515579	0.000000
40.993286	0.000000
37.167683	0.000000
37.793884	0.000000
42.574566	0.000000
42.695412	0.000000
42.369122	0.000000
46.577705	0.000000
46.383572	0.000000
51.669777	0.000000
51.573635	0.000000
46.078571	0.000000
45.906296	0.000000
45.163490	0.000000
46.042542	0.000000
49.688450	0.000000
49.269958	0.000000
46.349125	0.000000
48.149212	0.000000
48.137058	0.000000
49.861919	0.000000
52.472458	0.000000
49.799160	0.000000
45.588699	0.000000
46.545399	0.000000
48.116783	0.000000
45.779663	0.000000
46.210457	0.000000
43.513447	0.000000
44.257317	0.000000
44.514141	0.000000
43.752674	0.000000
40.715656	0.000000
40.394218	0.000000
39.720852	0.000000
40.562546	0.000000
44.956722	0.000000
45.272366	0.000000
41.780758	0.000000
44.295254	0.000000
46.961201	0.000000
51.129986	0.000000
50.939388	0.000000
50.541042	0.000000
47.762691	0.000000
45.708710	0.000000
48.002373	0.000000
47.673641	0.000000
46.724186	0.000000
47.574490	0.000000
47.826317	0.000000
48.145466	0.000000
51.857697	0.000000
53.460140	0.000000
50.115635	0.000000
47.659431	0.000000
49.353439	0.000000
49.580486	0.000000
47.783676	0.000000
47.253994	0.000000
46.091690	0.000000
45.784275	0.000000
46.197273	0.000000
43.240627	0.000000
41.455299	0.000000
38.183178	0.000000
39.870914	0.000000
42.388168	0.000000
44.857876	0.000000
46.336109	0.000000
45.512218	0.000000
48.633289	0.000000
50.340797	0.000000
52.118946	0.000000
51.436512	0.000000
50.335728	0.000000
47.748055	0.000000
47.814796	0.000000
46.125546	0.000000
46.910065	0.000000
47.879215	0.000000
48.890575	0.000000
49.959019	0.000000
49.737526	0.000000
53.407280	0.000000
53.581802	0.000000
47.255650	0.000000
50.113228	0.000000
49.261517	0.000000
49.215801	0.000000
47.942055	0.000000
46.190468	0.000000
46.473930	0.000000
45.050827	0.000000
45.180408	0.000000
41.340763	0.000000
39.821533	0.000000
38.374348	0.000000
40.501270	0.000000
45.360779	0.000000
46.146057	0.000000
45.571735	0.000000
47.734161	0.000000
49.603149	0.000000
51.938263	0.000000
55.562767	0.000000
53.851051	0.000000
55.139912	0.000000
51.355061	0.000000
52.134117	0.000000
53.832821	0.000000
53.657349	0.000000
52.480579	0.000000
50.851337	0.000000
50.845947	0.000000
53.298019	0.000000
55.721371	0.000000
52.270454	0.000000
49.923977	0.000000
50.286686	0.000000
49.521805	0.000000
50.471397	0.000000
49.775192	0.000000
48.216835	0.000000
46.548618	0.000000
46.859760	0.000000
45.101322	0.000000
40.609959	0.000000
38.865864	0.000000
41.187202	0.000000
43.720432	0.000000
45.425087	0.000000
45.645039	0.000000
50.292908	0.000000
52.411263	0.000000
51.808598	0.000000
50.451664	0.000000
52.577816	0.000000
50.760475	0.000000
46.649345	0.000000
46.328922	0.000000
48.784725	0.000000
50.204742	0.000000
51.538605	0.000000
52.155159	0.000000
51.991810	0.000000
52.819607	0.000000
53.200447	0.000000
52.571163	0.000000
48.875164	0.000000
46.664761	0.000000
47.044022	0.000000
44.592239	0.000000
43.941334	0.000000
43.757084	0.000000
44.665386	0.000000
45.230572	0.000000
44.328842	0.000000
44.069565	0.000000
40.790977	0.000000
38.716988	0.000000
40.999912	0.000000
42.200298	0.000000
46.228760	0.000000
49.140625	0.000000
52.353104	0.000000
54.869831	0.000000
54.058605	0.000000
52.361530	0.000000
48.402283	0.000000
47.275898	0.000000
46.700153	0.000000
49.889763	0.000000
51.009525	0.000000
48.830517	0.000000
48.170254	0.000000
48.543537	0.000000
49.862484	0.000000
48.586140	0.000000
51.161610	0.000000
49.143917	0.000000
48.629059	0.000000
49.103424	0.000000
48.998756	0.000000
48.836746	0.000000
