Angle 0-360	Magnitude
51.470905	1.646888
50.739914	1.615998
49.117043	1.596793
46.746243	1.577956
46.827534	1.513667
46.018887	1.465463
46.148396	1.413488
47.332741	1.348764
43.909405	1.276870
38.513386	1.135901
40.509609	1.172307
43.923920	1.313564
45.929115	1.408791
47.754517	1.451154
47.791046	1.460025
48.963058	1.454793
49.568901	1.466904
50.359814	1.540711
49.164127	1.511959
48.935471	1.449638
48.780968	1.472574
50.321186	1.461281
46.893814	1.437450
47.563644	1.547067
48.522205	1.531979
50.703945	1.491417
50.589775	1.405903
51.956467	1.465219
54.358421	1.753548
52.324623	1.724567
49.758373	1.559328
50.084675	1.563104
51.862076	1.678621
49.199429	1.656682
47.554317	1.574187
47.645027	1.557868
48.074554	1.475663
45.229721	1.441698
45.341370	1.381325
42.371269	1.268567
41.749062	1.217560
39.727238	1.183437
42.870853	1.253856
47.206806	1.437754
47.083462	1.462079
46.165039	1.406848
48.335579	1.470880
48.778027	1.432082
52.191902	1.503319
52.476955	1.527126
56.423527	1.521074
56.073624	1.585177
55.102772	1.501637
54.649948	1.521549
52.177242	1.540768
52.704227	1.571309
54.456371	1.574350
